Thu nhập,Nghề nghiệp,Tình trạng hôn nhân,Sở hữu nhà,Nguy cơ
Thấp,Vận tải,Độc thân,Rồi,Rủi ro cao
Thấp,Vận tải,Độc thân,Chưa,Rủi ro cao
Cao,Vận tải,Độc thân,Rồi,Rủi ro thấp
Trung bình,Truyền thông,Độc thân,Rồi,Rủi ro thấp
Trung bình,Kinh doanh,Đã kết hôn,Rồi,Rủi ro thấp
Trung bình,Kinh doanh,Đã kết hôn,Chưa,Rủi ro cao
Cao,Kinh doanh,Đã kết hôn,Chưa,Rủi ro thấp
Thấp,Truyền thông,Độc thân,Rồi,Rủi ro cao
Thấp,Kinh doanh,Đã kết hôn,Rồi,Rủi ro thấp
Trung bình,Truyền thông,Đã kết hôn,Rồi,Rủi ro thấp
Thấp,Truyền thông,Đã kết hôn,Chưa,Rủi ro thấp
Cao,Truyền thông,Độc thân,Chưa,Rủi ro thấp
Cao,Vận tải,Đã kết hôn,Rồi,Rủi ro thấp
Trung bình,Truyền thông,Độc thân,Chưa,Rủi ro cao
Cao,Kinh doanh,Độc thân,Rồi,Rủi ro cao
